edge_id,subject,subject_type,subject_subset,predicate,biolink_predicate,object,object_type,object_subset,pmid,trial,year,confidence,confidence_rationale,effect_size,p_value,direction,temporal_context
aggressive_recruitme__isContraindicatedIn__focal_ards__28973363,Aggressive recruitment maneuver strategy,biolink:Treatment,POI_intervention,poi:isContraindicatedIn,biolink:contraindicated_in,Focal ARDS,biolink:Disease,POI_disease,28973363,ART,2017,0.92,ART definitive harm + focal ARDS lower recruitability = double contraindication,,,HARMFUL,
cisatracurium__hasClinicalOutcome__90_day_all_cause_mor__31112383,Cisatracurium,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,90-day all-cause mortality,biolink:ClinicalFinding,POI_outcome,31112383,ROSE,2019,0.9,"Large RCT n=1006, stopped futility at 2nd interim, definitive null in lighter sedation era",42.5% vs 42.8% P=0.93,,NULL,
cisatracurium__hasTemporalContext__lighter_sedation_era__31112383,Cisatracurium,biolink:Treatment,POI_intervention,poi:hasTemporalContext,biolink:occurs_in,Lighter sedation era clinical context,biolink:InformationContentEntity,POI_context,31112383,ROSE,2019,0.9,"Explicit temporal context: NMB null in ROSE (2019) vs beneficial in ACURASYS (2010, deep sedation)",,,NULL,
acute_respiratory_di__hasBiomarker__interleukin_6__33253239,Acute respiratory distress syndrome,biolink:Disease,POI_disease,poi:hasBiomarker,biolink:has_biomarker,Interleukin-6,biolink:Biomarker,POI_biomarker,33253239,Calfee2021,2021,0.9,"Meta-analysis of subphenotype studies, consistently elevated in hyperinflammatory ARDS",elevated in hyperinflammatory,,BENEFICIAL,
acute_respiratory_di__hasBiomarker__interleukin_8__33253239,Acute respiratory distress syndrome,biolink:Disease,POI_disease,poi:hasBiomarker,biolink:has_biomarker,Interleukin-8,biolink:Biomarker,POI_biomarker,33253239,Calfee2021,2021,0.9,Parsimonious classifier variable; consistently elevated in hyperinflammatory subphenotype,elevated in hyperinflammatory,,BENEFICIAL,
right_ventricular_dy__iscontraindicatedin__high_peep_ventilatio__20558628,Right ventricular dysfunction ARDS population,biolink:PopulationOfIndividualOrganisms,POI_population,poi:iscontraindicatedin,biolink:related_to,High PEEP ventilation strategy,biolink:InformationContentEntity,POI_context,20558628,,0,0.9,OWL ontology assertion — expert curated,,,,
focal_ards__iscontraindicatedin__high_peep_ventilatio__30342773,Focal ARDS,biolink:Disease,POI_disease,poi:iscontraindicatedin,biolink:related_to,High PEEP ventilation strategy,biolink:InformationContentEntity,POI_context,30342773,,0,0.9,OWL ontology assertion — expert curated,,,,
right_ventricular_dy__iscontraindicatedin__aggressive_recruitme__20558628,Right ventricular dysfunction ARDS population,biolink:PopulationOfIndividualOrganisms,POI_population,poi:iscontraindicatedin,biolink:related_to,Aggressive recruitment maneuver strategy,biolink:InformationContentEntity,POI_context,20558628,,0,0.9,OWL ontology assertion — expert curated,,,,
focal_ards__iscontraindicatedin__aggressive_recruitme__30342773,Focal ARDS,biolink:Disease,POI_disease,poi:iscontraindicatedin,biolink:related_to,Aggressive recruitment maneuver strategy,biolink:InformationContentEntity,POI_context,30342773,,0,0.9,OWL ontology assertion — expert curated,,,,
mechanical_power__measuredby__ultra_protective_ven__28985207,Mechanical power,biolink:ClinicalFinding,POI_outcome,poi:measuredby,biolink:related_to,Ultra-protective ventilation during VV-ECMO,biolink:Treatment,POI_intervention,28985207,,0,0.9,OWL ontology assertion — expert curated,,,,
mechanical_power_exc__measuredby__ultra_protective_ven__28985207,Mechanical power exceeding 17 J/min,biolink:ClinicalFinding,POI_outcome,poi:measuredby,biolink:related_to,Ultra-protective ventilation during VV-ECMO,biolink:Treatment,POI_intervention,28985207,,0,0.9,OWL ontology assertion — expert curated,,,,
non_focal_ards__measuredby__ultra_protective_ven__30342773,Non-focal ARDS,biolink:Disease,POI_disease,poi:measuredby,biolink:related_to,Ultra-protective ventilation during VV-ECMO,biolink:Treatment,POI_intervention,30342773,,0,0.9,OWL ontology assertion — expert curated,,,,
focal_ards__measuredby__ultra_protective_ven__30342773,Focal ARDS,biolink:Disease,POI_disease,poi:measuredby,biolink:related_to,Ultra-protective ventilation during VV-ECMO,biolink:Treatment,POI_intervention,30342773,,0,0.9,OWL ontology assertion — expert curated,,,,
mechanical_power__measuredby__rescue_vv_ecmo__28985207,Mechanical power,biolink:ClinicalFinding,POI_outcome,poi:measuredby,biolink:related_to,Rescue VV-ECMO,biolink:Treatment,POI_intervention,28985207,,0,0.9,OWL ontology assertion — expert curated,,,,
hyperinflammatory_ar__hasdifferentialresponse__conservative_fluid_m__25030514,Hyperinflammatory ARDS subphenotype,biolink:Disease,POI_disease,poi:hasdifferentialresponse,biolink:related_to,Conservative fluid management strategy,biolink:Treatment,POI_intervention,25030514,,0,0.9,OWL ontology assertion — expert curated,,,,
hyperinflammatory_ar__hasdifferentialresponse__dexamethasone_treatm__25030514,Hyperinflammatory ARDS subphenotype,biolink:Disease,POI_disease,poi:hasdifferentialresponse,biolink:related_to,dexamethasone treatment for hospitalized COVID-19,biolink:Treatment,POI_intervention,25030514,,0,0.9,OWL ontology assertion — expert curated,,,,
prone_positioning__hasdifferentialresponse__focal_ards__19903918,prone positioning,biolink:Treatment,POI_intervention,poi:hasdifferentialresponse,biolink:related_to,Focal ARDS,biolink:Disease,POI_disease,19903918,,0,0.9,OWL ontology assertion — expert curated,,,,
focal_ards__hasdifferentialresponse__prone_positioning__30342773,Focal ARDS,biolink:Disease,POI_disease,poi:hasdifferentialresponse,biolink:related_to,prone positioning,biolink:Treatment,POI_intervention,30342773,,0,0.9,OWL ontology assertion — expert curated,,,,
mechanical_power_exc__hasriskfactor__mechanical_power__28985207,Mechanical power exceeding 17 J/min,biolink:ClinicalFinding,POI_outcome,poi:hasriskfactor,biolink:related_to,Mechanical power,biolink:ClinicalFinding,POI_outcome,28985207,,0,0.9,OWL ontology assertion — expert curated,,,,
acute_respiratory_di__hasriskfactor__fluid_overload__ards__,Acute respiratory distress syndrome,biolink:Disease,POI_disease,poi:hasriskfactor,biolink:related_to,Fluid overload (ARDS risk mechanism),biolink:BiologicalProcess,POI_mechanism,,,0,0.9,OWL ontology assertion — expert curated,,,,
prone_positioning__treats__severe_ards_context___19903918,prone positioning,biolink:Treatment,POI_intervention,poi:treats,biolink:treats,Severe ARDS context PaO2/FiO2 less than 150,biolink:InformationContentEntity,POI_context,19903918,,0,0.9,OWL ontology assertion — expert curated,,,,
acute_respiratory_di__hasseveritystage__severe_ards_duration__,Acute respiratory distress syndrome,biolink:Disease,POI_disease,poi:hasseveritystage,biolink:related_to,Severe ards duration over 72h,biolink:InformationContentEntity,POI_context,,,0,0.9,OWL ontology assertion — expert curated,,,,
baricitinib__preventscondition__avoided_intubation__37320743,Baricitinib,biolink:Treatment,POI_intervention,poi:preventscondition,biolink:related_to,Avoided intubation,biolink:ClinicalFinding,POI_outcome,37320743,,0,0.9,OWL ontology assertion — expert curated,,,,
hyperinflammatory_ar__hasbiomarker__soluble_tumour_necro__25030514,Hyperinflammatory ARDS subphenotype,biolink:Disease,POI_disease,poi:hasbiomarker,biolink:related_to,Soluble tumour necrosis factor receptor 1,biolink:Biomarker,POI_biomarker,25030514,,0,0.9,OWL ontology assertion — expert curated,,,,
hyperinflammatory_ar__hasbiomarker__interleukin_6__25030514,Hyperinflammatory ARDS subphenotype,biolink:Disease,POI_disease,poi:hasbiomarker,biolink:related_to,Interleukin-6,biolink:Biomarker,POI_biomarker,25030514,,0,0.9,OWL ontology assertion — expert curated,,,,
hyperinflammatory_ar__hasbiomarker__interleukin_8__25030514,Hyperinflammatory ARDS subphenotype,biolink:Disease,POI_disease,poi:hasbiomarker,biolink:related_to,Interleukin-8,biolink:Biomarker,POI_biomarker,25030514,,0,0.9,OWL ontology assertion — expert curated,,,,
parsimonious_ards_su__hasbiomarker__interleukin_8__32461733,Parsimonious ARDS subphenotype classifier,biolink:Treatment,POI_intervention,poi:hasbiomarker,biolink:related_to,Interleukin-8,biolink:Biomarker,POI_biomarker,32461733,,0,0.9,OWL ontology assertion — expert curated,,,,
hyperinflammatory_ar__hasbiomarker__protein_c__25030514,Hyperinflammatory ARDS subphenotype,biolink:Disease,POI_disease,poi:hasbiomarker,biolink:related_to,Protein C,biolink:Biomarker,POI_biomarker,25030514,,0,0.9,OWL ontology assertion — expert curated,,,,
hypoinflammatory_ard__hasbiomarker__protein_c__25030514,Hypoinflammatory ARDS subphenotype,biolink:Disease,POI_disease,poi:hasbiomarker,biolink:related_to,Protein C,biolink:Biomarker,POI_biomarker,25030514,,0,0.9,OWL ontology assertion — expert curated,,,,
parsimonious_ards_su__hasbiomarker__protein_c__32461733,Parsimonious ARDS subphenotype classifier,biolink:Treatment,POI_intervention,poi:hasbiomarker,biolink:related_to,Protein C,biolink:Biomarker,POI_biomarker,32461733,,0,0.9,OWL ontology assertion — expert curated,,,,
hyperinflammatory_ar__hasbiomarker__serum_bicarbonate__25030514,Hyperinflammatory ARDS subphenotype,biolink:Disease,POI_disease,poi:hasbiomarker,biolink:related_to,Serum bicarbonate,biolink:Biomarker,POI_biomarker,25030514,,0,0.9,OWL ontology assertion — expert curated,,,,
parsimonious_ards_su__hasbiomarker__serum_bicarbonate__32461733,Parsimonious ARDS subphenotype classifier,biolink:Treatment,POI_intervention,poi:hasbiomarker,biolink:related_to,Serum bicarbonate,biolink:Biomarker,POI_biomarker,32461733,,0,0.9,OWL ontology assertion — expert curated,,,,
hypoinflammatory_ard__hasbiomarker__plasminogen_activato__25030514,Hypoinflammatory ARDS subphenotype,biolink:Disease,POI_disease,poi:hasbiomarker,biolink:related_to,Plasminogen activator inhibitor-1,biolink:Biomarker,POI_biomarker,25030514,,0,0.9,OWL ontology assertion — expert curated,,,,
hyperinflammatory_ar__hasclinicaloutcome__extravascular_lung_w__25030514,Hyperinflammatory ARDS subphenotype,biolink:Disease,POI_disease,poi:hasclinicaloutcome,biolink:related_to,Extravascular lung water index,biolink:ClinicalFinding,POI_outcome,25030514,,0,0.9,OWL ontology assertion — expert curated,,,,
parsimonious_ards_su__hasclinicaloutcome__hyperinflammatory_ar__32461733,Parsimonious ARDS subphenotype classifier,biolink:Treatment,POI_intervention,poi:hasclinicaloutcome,biolink:related_to,Hyperinflammatory ARDS subphenotype,biolink:Disease,POI_disease,32461733,,0,0.9,OWL ontology assertion — expert curated,,,,
parsimonious_ards_su__hasclinicaloutcome__hypoinflammatory_ard__32461733,Parsimonious ARDS subphenotype classifier,biolink:Treatment,POI_intervention,poi:hasclinicaloutcome,biolink:related_to,Hypoinflammatory ARDS subphenotype,biolink:Disease,POI_disease,32461733,,0,0.9,OWL ontology assertion — expert curated,,,,
high_peep_ventilatio__isContraindicatedIn__focal_ards__28973363,High PEEP ventilation strategy,biolink:Treatment,POI_intervention,poi:isContraindicatedIn,biolink:contraindicated_in,Focal ARDS,biolink:Disease,POI_disease,28973363,ART,2017,0.88,"Mechanistic + ART harm signal; focal ARDS lower recruitability, overdistension risk",,,HARMFUL,
high_peep_ventilatio__isContraindicatedIn__right_ventricular_dy__28973363,High PEEP ventilation strategy,biolink:Treatment,POI_intervention,poi:isContraindicatedIn,biolink:contraindicated_in,Right ventricular dysfunction ARDS population,biolink:PopulationOfIndividualOrganisms,POI_population,28973363,ART,2017,0.88,High PEEP increases RV afterload; ~20-30% ARDS incidence; consistent across multiple studies,,,HARMFUL,
acute_respiratory_di__hasBiomarker__soluble_receptor_for__33253239,Acute respiratory distress syndrome,biolink:Disease,POI_disease,poi:hasBiomarker,biolink:has_biomarker,Soluble receptor for advanced glycation end-products,biolink:Biomarker,POI_biomarker,33253239,Calfee2021,2021,0.88,sRAGE reflects alveolar epithelial injury; validated biomarker across multiple cohorts,AT1 cell injury marker,,BENEFICIAL,
acute_respiratory_di__hasBiomarker__angiopoietin_2__33253239,Acute respiratory distress syndrome,biolink:Disease,POI_disease,poi:hasBiomarker,biolink:has_biomarker,Angiopoietin-2,biolink:Biomarker,POI_biomarker,33253239,Calfee2021,2021,0.88,Endothelial injury marker; elevated in hyperinflammatory; predicts mortality,endothelial permeability,,BENEFICIAL,
dexamethasone__hasClinicalOutcome__ventilator_free_days__32043986,Dexamethasone,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Ventilator-free days at day 28,biolink:ClinicalFinding,POI_outcome,32043986,DEXA-ARDS,2020,0.85,"Primary endpoint, P<0.0001, clear biological mechanism",+4.8 days (2.57-7.03),,BENEFICIAL,
conservative_oxygen___causesAdverseOutcome__mesenteric_ischemia___32160661,Conservative oxygen therapy,biolink:Treatment,POI_intervention,poi:causesAdverseOutcome,biolink:causes_adverse_event,Mesenteric ischemia in ARDS,biolink:ClinicalFinding,POI_outcome,32160661,LOCO2,2020,0.85,"Stopped early safety, mesenteric ischemia 5 vs 0 events, biologically plausible, underpowered overall",5 events vs 0,,HARMFUL,
hyperinflammatory_ar__hasDifferentialResponse__conservative_fluid_m__25030514,Hyperinflammatory ARDS subphenotype,biolink:Disease,POI_disease,poi:hasDifferentialResponse,biolink:related_to,Conservative fluid management strategy,biolink:Treatment,POI_intervention,25030514,Calfee2014,2014,0.85,HTE analysis FACTT: conservative fluid benefits hyperinflammatory but not hypoinflammatory,mortality benefit in hyper,,BENEFICIAL,
dexamethasone__treats__acute_respiratory_di__32043986,Dexamethasone,biolink:Treatment,POI_intervention,poi:treats,biolink:treats,Acute respiratory distress syndrome,biolink:Disease,POI_disease,32043986,DEXA-ARDS,2020,0.82,"RCT n=277, unblinded (-0.05), stopped early (-0.05), P=0.005, converges with RECOVERY",60d mort 21% vs 36%,,BENEFICIAL,
dexamethasone__hasClinicalOutcome__60_day_all_cause_mor__32043986,Dexamethasone,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,60-day all-cause mortality,biolink:ClinicalFinding,POI_outcome,32043986,DEXA-ARDS,2020,0.82,"Secondary endpoint, unblinded trial, stopped early — may overestimate",21% vs 36% P=0.005,,BENEFICIAL,
bispectral_index__bi__hasClinicalOutcome__sedation_depth__10470756,Bispectral Index (BIS) monitoring,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Sedation depth,biolink:ClinicalFinding,POI_outcome,10470756,,1999,0.75,"Haiku-extracted from PMID:10470756, direction=NULL",None,<0.001,NULL,
high_flow_nasal_cann__hasClinicalOutcome__90_day_all_cause_mor__25981908,High-flow nasal cannula oxygen therapy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,90-day all-cause mortality,biolink:ClinicalFinding,POI_outcome,25981908,FLORALI,2015,0.68,Discordant primary null/secondary beneficial; subgroup PaO2/FiO2<=200 drives effect (-0.10),12% vs 23-28% P=0.02,,MIXED,
vv_ecmo__treats__acute_respiratory_di__29791822,VV-ECMO,biolink:Treatment,POI_intervention,poi:treats,biolink:treats,Acute respiratory distress syndrome,biolink:Disease,POI_disease,29791822,EOLIA,2018,0.65,"RCT n=249, P=0.09 (non-significant), 28% crossover (-0.15), Bayesian ~88% prob benefit (+0.05)",RR 0.76 (0.55-1.04),,TREND,
vv_ecmo__hasClinicalOutcome__60_day_all_cause_mor__29791822,VV-ECMO,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,60-day all-cause mortality,biolink:ClinicalFinding,POI_outcome,29791822,EOLIA,2018,0.65,"Primary endpoint missed P=0.09, high crossover contamination, Bayesian reanalysis supports benefit",35% vs 46% P=0.09,,TREND,
low_tidal_volume_ven__hasClinicalOutcome__death_before_dischar__10793162,Low tidal volume ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Death before discharge home or before 28 days,biolink:ClinicalFinding,POI_outcome,10793162,,2000,0.6,"Haiku-extracted from PMID:10793162, direction=BENEFIT",-8.8,0.007,BENEFIT,
high_flow_oxygen_the__hasClinicalOutcome__proportion_of_patien__25981908,High-flow oxygen therapy through nasal cannula,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Proportion of patients requiring endotracheal intubation within 28 days after randomization,biolink:ClinicalFinding,POI_outcome,25981908,,2015,0.6,"Haiku-extracted from PMID:25981908, direction=NO EFFECT",Proportion,0.18,NO EFFECT,
lung_recruitment_man__hasClinicalOutcome__all_cause_mortality___28973363,Lung recruitment maneuver with titrated PEEP,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,All-cause mortality until 28 days,biolink:ClinicalFinding,POI_outcome,28973363,,2017,0.6,"Haiku-extracted from PMID:28973363, direction=HARM",6.0,0.041,HARM,
individualised_perio__hasClinicalOutcome__composite_of_pulmona__29371130,Individualised perioperative open-lung approach (OLA),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Composite of pulmonary and systemic complications during the first 7 postoperative days,biolink:ClinicalFinding,POI_outcome,29371130,,2018,0.6,"Haiku-extracted from PMID:29371130, direction=NO EFFECT",-5.0,0.25,NO EFFECT,
early_venovenous_ecm__hasClinicalOutcome__mortality_at_60_days__29791822,Early venovenous ECMO,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality at 60 days,biolink:ClinicalFinding,POI_outcome,29791822,,2018,0.6,"Haiku-extracted from PMID:29791822, direction=NO EFFECT",-11.0,0.09,NO EFFECT,
early_continuous_neu__hasClinicalOutcome__in_hospital_death_fr__31112383,Early continuous neuromuscular blockade with deep sedation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,In-hospital death from any cause at 90 days,biolink:ClinicalFinding,POI_outcome,31112383,,2019,0.6,"Haiku-extracted from PMID:31112383, direction=NO EFFECT",-0.3,0.93,NO EFFECT,
high_peep_with_recru__hasClinicalOutcome__postoperative_pulmon__31157366,High PEEP with recruitment maneuvers,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Postoperative pulmonary complications,biolink:ClinicalFinding,POI_outcome,31157366,,2019,0.6,"Haiku-extracted from PMID:31157366, direction=NO EFFECT",-2.3,0.23,NO EFFECT,
conservative_oxygen___hasClinicalOutcome__number_of_ventilator__31613432,Conservative oxygen therapy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Number of ventilator-free days from randomization until day 28,biolink:ClinicalFinding,POI_outcome,31613432,,2020,0.6,"Haiku-extracted from PMID:31613432, direction=NO EFFECT",-0.3,0.80,NO EFFECT,
intravenous_dexameth__hasClinicalOutcome__number_of_ventilator__32043986,Intravenous dexamethasone,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Number of ventilator-free days at 28 days (days alive and free from mechanical ventilation from day of randomisation to day 28),biolink:ClinicalFinding,POI_outcome,32043986,,2020,0.6,"Haiku-extracted from PMID:32043986, direction=BENEFIT",4.8,<0.0001,BENEFIT,
conservative_oxygen___hasClinicalOutcome__death_from_any_cause__32160661,Conservative oxygen therapy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Death from any cause at 28 days,biolink:ClinicalFinding,POI_outcome,32160661,,2020,0.6,"Haiku-extracted from PMID:32160661, direction=HARM",7.8,NR,HARM,
awake_prone_position__hasClinicalOutcome__intubation_within_30__34127046,Awake prone positioning protocol,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Intubation within 30 days after enrollment,biolink:ClinicalFinding,POI_outcome,34127046,,2021,0.6,"Haiku-extracted from PMID:34127046, direction=NO EFFECT",HR,0.99,NO EFFECT,
prone_positioning_du__hasClinicalOutcome__not_specified_in_pro__38038395,Prone positioning during ECMO,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Not specified in provided abstract text,biolink:ClinicalFinding,POI_outcome,38038395,,2023,0.6,"Haiku-extracted from PMID:38038395, direction=NO EFFECT",RR,0.64,NO EFFECT,
individualised_perio__hasClinicalOutcome__composite_of_severe___38065200,Individualised perioperative open-lung approach (iOLA) during one-lung ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Composite of severe postoperative pulmonary complications within 7 postoperative days,biolink:ClinicalFinding,POI_outcome,38065200,,2024,0.6,"Haiku-extracted from PMID:38065200, direction=BENEFIT",-9.0,<0.001,BENEFIT,
dexamethasone__hasClinicalOutcome__28_day_mortality__32678530,Dexamethasone,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,28-day mortality,biolink:ClinicalFinding,POI_outcome,32678530,,2021,0.6,"Haiku-extracted from PMID:32678530, direction=BENEFIT",-2.8,<0.001,BENEFIT,
protective_mechanica__hasClinicalOutcome__mortality_at_28_days__9449727,Protective mechanical ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality at 28 days,biolink:ClinicalFinding,POI_outcome,9449727,,1998,0.6,"Haiku-extracted from PMID:9449727, direction=BENEFIT",-33.0,<0.001,BENEFIT,
conservative_fluid_m__hasClinicalOutcome__death_at_60_days__16714767,Conservative fluid management strategy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Death at 60 days,biolink:ClinicalFinding,POI_outcome,16714767,,2006,0.6,"Haiku-extracted from PMID:16714767, direction=NO EFFECT",-2.9,0.30,NO EFFECT,
extracorporeal_membr__hasClinicalOutcome__death_or_severe_disa__19762075,Extracorporeal membrane oxygenation (ECMO),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Death or severe disability at 6 months,biolink:ClinicalFinding,POI_outcome,19762075,,2009,0.6,"Haiku-extracted from PMID:19762075, direction=BENEFIT",RR,0.03,BENEFIT,
higher_peep_levels__hasClinicalOutcome__death_before_hospita__15269312,Higher PEEP levels,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Death before hospital discharge,biolink:ClinicalFinding,POI_outcome,15269312,,2004,0.6,"Haiku-extracted from PMID:15269312, direction=NO EFFECT",2.6,0.48,NO EFFECT,
lung_ultrasound__hasClinicalOutcome__diagnosis_of_acute_r__18403664,Lung ultrasound,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Diagnosis of acute respiratory failure,biolink:ClinicalFinding,POI_outcome,18403664,,2008,0.6,"Haiku-extracted from PMID:18403664, direction=BENEFIT",None,None,BENEFIT,
lung_protective_vent__hasClinicalOutcome__pulmonary_and_system__10404912,Lung-protective ventilation strategy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Pulmonary and systemic cytokine concentrations,biolink:ClinicalFinding,POI_outcome,10404912,,1999,0.6,"Haiku-extracted from PMID:10404912, direction=BENEFIT",None,<0.05,BENEFIT,
intermittent_mandato__hasClinicalOutcome__duration_of_weaning__7823995,Intermittent mandatory ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Duration of weaning,biolink:ClinicalFinding,POI_outcome,7823995,,1995,0.6,"Haiku-extracted from PMID:7823995, direction=",None,None,,
methylprednisolone__hasClinicalOutcome__mortality_at_60_days__16625008,Methylprednisolone,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality at 60 days,biolink:ClinicalFinding,POI_outcome,16625008,,2006,0.6,"Haiku-extracted from PMID:16625008, direction=NO EFFECT",0.6,1.0,NO EFFECT,
latent_class_analysi__hasClinicalOutcome__identification_of_ar__24853585,Latent class analysis to identify ARDS subphenotypes,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Identification of ARDS subphenotypes,biolink:ClinicalFinding,POI_outcome,24853585,,2014,0.6,"Haiku-extracted from PMID:24853585, direction=BENEFIT",None,None,BENEFIT,
