poi_id:ID,id_slug,label,subset:LABEL,parent,definition,synonym,xref_DOID,xref_MESH,xref_UMLS,source,source_pmids,n_sources:int,xref_CHEBI,xref_GO,xref_MONDO,normalized_label,original_label,norm_method,norm_confidence,synonyms,hitl_split_flag,hitl_members
ARDS_POI:01153,epidural-anaesthesia-and-analgesia,epidural anaesthesia and analgesia,POI_intervention,perioperative-pain-management,Use of epidural anaesthesia intraoperatively and epidural analgesia postoperatively for major abdominal surgery.,,,D015733,C0014618,robot_template_row,11965272,1,,,,Epidural anesthesia and analgesia,epidural anaesthesia and analgesia,claude_api,HIGH,,,
ARDS_POI:01158,noninvasive-positive-pressure-ventilation,Noninvasive positive-pressure ventilation,POI_intervention,mechanical-ventilation-strategy,Noninvasive ventilation delivered through a face mask for patients with acute respiratory failure.,,DOID:11394,D012128,C0035222,robot_template_row,9700176|8147550|8797425|9872200|10712326|17133177|15483407|15599160|11673215,9,,,,Positive-Pressure Ventilation,Noninvasive positive-pressure ventilation,claude_api,HIGH,,,
ARDS_POI:01163,growth-hormone-administration,growth hormone administration,POI_intervention,treatment,Administration of growth hormone to critically ill adults hospitalized for prolonged periods.,,,D006400,C0018400,robot_template_row,10477776,1,CHEBI:37845,,,Growth Hormone Administration,growth hormone administration,claude_api,HIGH,,,
ARDS_POI:01166,prolonged-methylprednisolone-therapy,prolonged methylprednisolone therapy,POI_intervention,corticosteroid-treatment,"Prolonged administration of methylprednisolone (initial dose 2 mg/kg/day, duration 32 days) for unresolving ARDS.",,DOID:11394,D012128,C0035222,robot_template_row,9669790,1,CHEBI:6888,,,methylprednisolone therapy,prolonged methylprednisolone therapy,claude_api,HIGH,,,
ARDS_POI:01169,pulmonary-artery-catheter-guided-hemodynamic-management,pulmonary-artery-catheter-guided-hemodynamic-management,POI_intervention,hemodynamic-monitoring-strategy,Use of pulmonary artery catheter to guide hemodynamic management in patients with acute lung injury.,PAC,DOID:11394,D012128,C0035222,robot_template_row,16714768,1,,,,Pulmonary Artery Catheter,pulmonary-artery-catheter-guided-hemodynamic-management,claude_api,HIGH,,,
ARDS_POI:01172,respiratory-changes-in-inferior-vena-cava-diameter,respiratory changes in inferior vena cava diameter,POI_intervention,fluid-responsiveness-prediction,Measuring respiratory changes in inferior vena cava diameter to predict fluid responsiveness in septic patients with acute lung injury.,,DOID:11394,D012128,C0035222,robot_template_row,15034650,1,,,,Inferior vena cava diameter,respiratory changes in inferior vena cava diameter,claude_api,MEDIUM,,,
ARDS_POI:01179,trophic-enteral-feeding-for-first-6-days,trophic enteral feeding for first 6 days,POI_intervention,enteral-nutrition-strategy,Trophic enteral feeding providing 400 kcal/day for the first 6 days in patients with acute lung injury requiring mechanical ventilation.,,DOID:11394,D012128,C0035222,robot_template_row,22307571,1,,,,Enteral Nutrition,trophic enteral feeding for first 6 days,claude_api,HIGH,,,
ARDS_POI:01199,tocilizumab-for-covid-19-pneumonia,Tocilizumab for COVID-19 pneumonia,POI_disease,anti-IL6-therapy,"Tocilizumab 8 mg/kg IV on day 1 and day 3 if clinically indicated, for treatment of moderate to severe COVID-19 pneumonia.",TCZ,DOID:0080600,D000086382,C5203670,robot_template_row,33080017,1,,,MONDO:0019122,Pneumonia,Tocilizumab for COVID-19 pneumonia,rule,HIGH,,,
ARDS_POI:01203,enteral-feeding-with-epagla-and-antioxidants,Enteral feeding with EPA+GLA and antioxidants,POI_intervention,ards-treatment,"Enteral feeding with a combination of eicosapentaenoic acid (EPA), gamma-linolenic acid (GLA), and antioxidants to reduce pulmonary inflammation and improve oxygenation in patients with acute respiratory distress syndrome.",,DOID:11394,D012128,C0035222,robot_template_row,10470743,1,CHEBI:25805,,,Enteral nutrition with omega-3 fatty acids and antioxidants,Enteral feeding with EPA+GLA and antioxidants,claude_api,MEDIUM,,,
ARDS_POI:02390,status-asthmaticus-inflammatory-profile,status asthmaticus inflammatory profile,POI_mechanism,airway-inflammatory-state,"Upregulation of proinflammatory cytokines IL-1, IL-6, and TNF-alpha in bronchoalveolar lavage of patients with status asthmaticus, despite concomitant increase in antiinflammatory mediators.",,,D007249,C0021368,robot_template_row,9927362,1,,GO:0006954,,Inflammatory response,status asthmaticus inflammatory profile,rule,HIGH,,,
ARDS_POI:01208,vasodilatory-effects-epa-gla,Vasodilatory Effects Epa Gla,POI_mechanism,biological-process,,,,D014664,C0042401,mechanism_node,10470743,1,,GO:0019229,,Vasodilation,Vasodilatory Effects Epa Gla,claude_api,MEDIUM,,,
ARDS_POI:01210,improved-lung-microvascular-permeability,Improved Lung Microvascular Permeability,POI_mechanism,biological-process,,,,D055806,C0678697,mechanism_node,10470743,1,,GO:0016525,,Lung Microvascular Permeability,Improved Lung Microvascular Permeability,claude_api,HIGH,,,
ARDS_POI:01928,lower-oxygenation-target-pao2-60-mmhg,Lower oxygenation target (Pao2 60 mmHg),POI_outcome,oxygen-therapy,Oxygen therapy targeting a partial pressure of arterial oxygen (Pao2) of 60 mmHg in patients with acute hypoxemic respiratory failure.,,DOID:11394,D012128,C0035222,robot_template_row,33471452,1,,,,Oxygenation,Lower oxygenation target (Pao2 60 mmHg),rule,HIGH,,,
ARDS_POI:01212,global-strength-and-handgrip-dynamometry-assessment,Global strength and handgrip dynamometry assessment,POI_intervention,muscle-weakness-evaluation,Comprehensive assessment of global muscle strength and handgrip dynamometry to diagnose ICU-acquired paresis and predict mortality in critically ill patients.,,,D008668,C0085493,robot_template_row,18511703,1,,,,Grip Strength,Global strength and handgrip dynamometry assessment,claude_api,HIGH,,,
ARDS_POI:01217,large-tidal-volume-ventilation,large tidal volume ventilation,POI_intervention,lung-protective-ventilation-strategy,"Ventilation with tidal volumes larger than 6 mL/kg predicted body weight, a proposed risk factor for ventilator-associated lung injury and ARDS.",,DOID:11394,D012128,C0035222,robot_template_row,15343007,1,,,,Tidal volume ventilation,large tidal volume ventilation,rule,HIGH,,,
ARDS_POI:01228,injurious-ventilation-strategy,Injurious ventilation strategy,POI_intervention,ventilation-strategy,"Ventilation strategy that leads to increased epithelial cell apoptosis in the kidney and small intestine, contributing to organ dysfunction in ARDS.",,DOID:11394,D012128,C0035222,robot_template_row,12709468,1,,GO:0097553,,Ventilator-induced lung injury,Injurious ventilation strategy,claude_api,HIGH,,,
ARDS_POI:01245,early-use-of-pulmonary-artery-catheter,early use of pulmonary artery catheter,POI_intervention,hemodynamic-monitoring-technique,Early use of pulmonary artery catheter in patients with shock and acute respiratory distress syndrome.,,DOID:11394,D012128,C0035222,robot_template_row,14645314,1,,,,Pulmonary artery catheterization,early use of pulmonary artery catheter,claude_api,HIGH,,,
ARDS_POI:01249,recombinant-human-angiotensin-converting-enzyme-2-rhace2,recombinant human angiotensin-converting enzyme 2 (rhACE2),POI_intervention,ras-signaling-modulator,"Recombinant human angiotensin-converting enzyme 2 (rhACE2, GSK2586881) to replete ACE2 and modulate renin-angiotensin system signaling in acute respiratory distress syndrome.",GSK2586881,DOID:11394,D012128,C0035222,robot_template_row,28877748,1,CHEBI:81399,,,recombinant human angiotensin-converting enzyme 2,recombinant human angiotensin-converting enzyme 2 (rhACE2),claude_api,HIGH,,,
ARDS_POI:01255,ace2-repletion-lung-injury-attenuation,Ace2 Repletion Lung Injury Attenuation,POI_mechanism,biological-process,,,DOID:3082,D000072502,C0024109,mechanism_node,28877748,1,,GO:0010628,,ACE2 repletion attenuates lung injury,Ace2 Repletion Lung Injury Attenuation,claude_api,MEDIUM,,,
ARDS_POI:01272,aerosolized-synthetic-surfactant,aerosolized synthetic surfactant,POI_intervention,ards-treatment,Continuous administration of aerosolized synthetic surfactant (13.5 mg/mL dipalmitoylphosphatidylcholine) for treatment of sepsis-induced ARDS.,,DOID:11394,D012128,C0035222,robot_template_row,8618579,1,CHEBI:49637,GO:0001568,,Pulmonary Surfactant,aerosolized synthetic surfactant,claude_api,HIGH,,,
ARDS_POI:01278,high-flow-oxygen-therapy,high-flow oxygen therapy,POI_intervention,oxygen-therapy,,,DOID:11394,D015408,C5203670,robot_template_row,27706464|34874419,2,,,,High-flow nasal cannula oxygen therapy,high-flow oxygen therapy,rule,HIGH,,,
ARDS_POI:01282,peak-cough-flow-threshold-for-extubationdecannulation,Peak cough flow threshold for extubation/decannulation,POI_intervention,extubation-criteria,Ability to generate peak cough flow of at least 160 L/min predicts successful extubation and tracheostomy decannulation in patients with neuromuscular ventilatory insufficiency.,,,D003934,C0010107,robot_template_row,8989078,1,,,,cough flow measurement,Peak cough flow threshold for extubation/decannulation,claude_api,MEDIUM,,,
ARDS_POI:01287,haloperidol-for-delirium-in-critical-illness,haloperidol for delirium in critical illness,POI_intervention,antipsychotic-medication,Intravenous haloperidol with maximum daily dose of 20 mg for treatment of delirium in critically ill patients.,,,D003693,C0011253,robot_template_row,30346242,1,CHEBI:5613,,,Haloperidol,haloperidol for delirium in critical illness,claude_api,HIGH,,,
ARDS_POI:01303,inflammasome-pathway-regulation,inflammasome pathway regulation,POI_mechanism,acute-lung-injury-pathway,The inflammasome pathway and its downstream cytokines play critical roles in ARDS development.,,DOID:11394,D012128,C0035222,robot_template_row,22461369,1,,GO:0006953,,inflammasome pathway regulation,inflammasome pathway regulation,claude_api,HIGH,,,
ARDS_POI:01308,serial-blood-lactate-measurements,serial blood lactate measurements,POI_intervention,vital-sign-monitoring,Serial monitoring of blood lactate levels to assess patient response to therapy and guide management of acutely ill patients.,lactate kinetics,,D007790,C0023007,robot_template_row,27520452,1,CHEBI:24996,,,Lactate measurement,serial blood lactate measurements,claude_api,HIGH,,,
ARDS_POI:01318,organ-dysfunction-prevention,Organ Dysfunction Prevention,POI_mechanism,biological-process,,,,D009102,C0424707,mechanism_node,24835849,1,,,,Organ Dysfunction Prevention,Organ Dysfunction Prevention,claude_api,MEDIUM,,,
ARDS_POI:01331,superior-vena-caval-collapsibility-measurement,Superior vena caval collapsibility measurement,POI_intervention,fluid-responsiveness-evaluation,Measurement of superior vena caval collapsibility as an index of fluid responsiveness in septic shock patients on mechanical ventilation.,,,D012359,C0036802,robot_template_row,15375649,1,,,,Superior vena cava collapsibility,Superior vena caval collapsibility measurement,claude_api,HIGH,,,
ARDS_POI:01337,respiratory-variation-pleural-pressure,Respiratory Variation Pleural Pressure,POI_mechanism,biological-process,,,,D010994,C0032707,mechanism_node,15375649,1,,,,pleural pressure,Respiratory Variation Pleural Pressure,claude_api,MEDIUM,,,
ARDS_POI:01376,furosemide-with-albumin-therapy,Furosemide with albumin therapy,POI_intervention,ARDS-treatment,Combination of furosemide diuretic and albumin in hypoproteinemic patients with acute lung injury or ARDS.,,DOID:11394,D012128,C0035222,robot_template_row,16096441,1,CHEBI:31642,,,Furosemide and Albumin Combination Therapy,Furosemide with albumin therapy,claude_api,HIGH,,,
ARDS_POI:01380,supplemental-oxygen-during-perioperative-period,Supplemental oxygen during perioperative period,POI_intervention,oxygen-therapy,Administration of supplemental oxygen (FiO2 > 0.21) during the perioperative period.,,DOID:11394,D010015,C0030054,robot_template_row,15539726,1,,,,Oxygen therapy,Supplemental oxygen during perioperative period,rule,HIGH,,,
ARDS_POI:01384,negative-cumulative-fluid-balance-in-acute-lung-injury,Negative cumulative fluid balance in acute lung injury,POI_disease,fluid-balance-optimization,"Negative cumulative fluid balance on day 4 of acute lung injury, associated with reduced hospital mortality, more ventilator-free days, and more ICU-free days.",,DOID:11394,D012128,C0035222,robot_template_row,19103612,1,,,,Acute lung injury,Negative cumulative fluid balance in acute lung injury,rule,HIGH,,,
ARDS_POI:01389,fluid-balance-optimization,Fluid Balance Optimization,POI_intervention,biological-process,,,,D005440,C0016086,mechanism_node,19103612,1,,GO:0007589,,Fluid Balance,Fluid Balance Optimization,claude_api,MEDIUM,,,
ARDS_POI:01390,pulmonary-edema-prevention,Pulmonary Edema Prevention,POI_mechanism,biological-process,,,,D011654,C0034063,mechanism_node,19103612,1,,,,pulmonary edema prevention,Pulmonary Edema Prevention,claude_api,HIGH,,,
ARDS_POI:01400,decreased-physiologic-deadspace-ratio,Decreased Physiologic Deadspace Ratio,POI_mechanism,biological-process,,,,D003683,C0011560,mechanism_node,14668608,1,,,,Physiologic Dead Space Ratio,Decreased Physiologic Deadspace Ratio,claude_api,MEDIUM,,,
ARDS_POI:01402,partial-liquid-ventilation,partial liquid ventilation,POI_intervention,lung-protective-ventilation-strategy,"Perflubron administration into trachea until dependent lung zone filled, followed by gas ventilation of perflubron-filled lung.",PLV,DOID:11394,D012128,C0035222,robot_template_row,11897644|8569018,2,,,,Partial Liquid Ventilation,partial liquid ventilation,claude_api,HIGH,,,
ARDS_POI:01451,sepsis-molecular-phenotyping,Sepsis molecular phenotyping,POI_disease,sepsis-personalized-management,"Derivation of sepsis molecular phenotypes (hypoinflammatory, hyperinflammatory) using latent class analysis of clinical data and biomarkers. Evaluation of concordance with ARDS phenotypes and implications for personalized management.",,DOID:11394,D012128,C0035222,robot_template_row,37633303,1,,,,Sepsis,Sepsis molecular phenotyping,rule,HIGH,,,
ARDS_POI:01466,cuff-leak-test,cuff-leak test,POI_intervention,airway-assessment-test,Diagnostic test to detect upper airway obstruction by measuring air leak around an endotracheal tube cuff.,,,D001348,C0004096,robot_template_row,19399474|27762595,2,,,,Cuff leak test,cuff-leak test,claude_api,HIGH,,,
ARDS_POI:01469,elevated-plasma-srage,elevated plasma sRAGE,POI_mechanism,ards-biomarker,Elevated plasma levels of soluble receptor for advanced glycation end products (sRAGE) associated with nonfocal CT-based ARDS lung imaging pattern.,,DOID:11394,D012128,C0035222,robot_template_row,27018314,1,,,,soluble receptor for advanced glycation end products,elevated plasma sRAGE,claude_api,HIGH,,,
ARDS_POI:01473,rage-pathway-activation,Rage Pathway Activation,POI_mechanism,biological-process,,,,D011971,C1155361,mechanism_node,27018314,1,,GO:0008625,,RAGE signaling pathway,Rage Pathway Activation,claude_api,HIGH,,,
ARDS_POI:01496,respiratory-failure-reversal-recognition,Respiratory Failure Reversal Recognition,POI_outcome,biological-process,,,DOID:11162,D012131,C0035229,mechanism_node,8948561,1,,,,Respiratory Failure,Respiratory Failure Reversal Recognition,claude_api,MEDIUM,,,
ARDS_POI:01498,protocol-directed-sedation,Protocol-directed sedation,POI_intervention,sedation-protocol,Nursing-implemented protocol for sedation administration during mechanical ventilation,,,D003612,C0036557,robot_template_row,10628598,1,,,,Sedation,Protocol-directed sedation,rule,HIGH,,,
ARDS_POI:01502,pressure-and-volume-limited-ventilation,pressure- and volume-limited ventilation,POI_intervention,lung-protective-ventilation-strategy,Ventilation strategy that limits peak airway pressure to ≤30 cmH2O and tidal volume to ≤8 mL/kg in patients at high risk for ARDS.,,DOID:11394,D012128,C0035222,robot_template_row,9449728,1,,,,pressure-limited ventilation,pressure- and volume-limited ventilation,claude_api,MEDIUM,,,
ARDS_POI:01504,high-frequency-oscillatory-ventilation,high-frequency oscillatory ventilation,POI_intervention,mechanical-ventilation-strategy,Use of high-frequency oscillatory ventilation for moderate-to-severe ARDS.,HFOV,DOID:11394,D012128,C0035222,robot_template_row,23339639|16137357|12897997|11445688,4,,,,high-frequency oscillatory ventilation,high-frequency oscillatory ventilation,claude_api,HIGH,,,
ARDS_POI:01507,non-invasive-positive-pressure-ventilation,non-invasive positive pressure ventilation,POI_intervention,respiratory-support,Non-invasive positive pressure ventilation to manage respiratory failure in COPD exacerbations.,NPPV,,D011556,C0034067,robot_template_row,12543832,1,,,,Positive-Pressure Respiration,non-invasive positive pressure ventilation,claude_api,HIGH,,,
ARDS_POI:01529,methylprednisolone-infusion,Methylprednisolone infusion,POI_intervention,corticosteroid-therapy,"Methylprednisolone infusion at 1 mg/kg/day for up to 28 days in early severe ARDS, to down-regulate systemic inflammation and improve pulmonary and extrapulmonary organ dysfunction.",,DOID:11394,D012128,C0035222,robot_template_row,17426195,1,CHEBI:6888,,,Methylprednisolone,Methylprednisolone infusion,claude_api,HIGH,,,
ARDS_POI:01534,pulmonary-function-improvement,Pulmonary Function Improvement,POI_mechanism,biological-process,,,,D011652,C0231921,mechanism_node,17426195,1,,GO:0007626,,Pulmonary Function,Pulmonary Function Improvement,claude_api,HIGH,,,
ARDS_POI:01535,extrapulmonary-organ-function-improvement,Extrapulmonary Organ Function Improvement,POI_mechanism,biological-process,,,,D009931,C0678723,mechanism_node,17426195,1,,GO:0048513,,Organ Function,Extrapulmonary Organ Function Improvement,claude_api,MEDIUM,,,
ARDS_POI:01536,physiotherapy-for-critically-ill-adults,Physiotherapy for critically ill adults,POI_population,physical-therapy-intervention,"Physiotherapy targeting deconditioning, impaired airway clearance, atelectasis, intubation avoidance, and weaning failure in critically ill adult patients.",,DOID:11394,D003294,C0010300,robot_template_row,18283429,1,,,,Critically ill patients,Physiotherapy for critically ill adults,rule,HIGH,,,
ARDS_POI:01543,tocilizumab,Tocilizumab,POI_intervention,monoclonal-antibody-therapy,"Intravenous tocilizumab 8mg/kg up to 800mg, administered twice within 12 hours, for treatment of COVID-19 pneumonia.",,DOID:0080600,D000086382,C5203670,robot_template_row,33080005,1,CHEBI:64360,,,Tocilizumab,Tocilizumab,claude_api,HIGH,,,
ARDS_POI:01554,fluid-challenge,fluid challenge,POI_intervention,fluid-therapy,"Fluid challenge with either 1,000 ml crystalloids or 500 ml colloids to assess fluid responsiveness.",,,D005440,C0150357,robot_template_row,15754196,1,,,,Fluid Therapy,fluid challenge,claude_api,HIGH,,,
ARDS_POI:01558,lymphopenia-on-admission,Lymphopenia on admission,POI_intervention,COVID-19-prognostic-factor,Low lymphocyte count on admission as a marker of severe COVID-19 disease course.,,DOID:614,D008231,C0024141,robot_template_row,32483488,1,,,,Lymphopenia,Lymphopenia on admission,claude_api,HIGH,,,
ARDS_POI:01565,noninvasive-pressure-support-ventilation,noninvasive pressure support ventilation,POI_intervention,weaning-strategy,"Extubation and application of noninvasive pressure support ventilation by face mask, used as an alternative to invasive pressure support ventilation for weaning patients with COPD and acute hypercapnic respiratory failure.",,DOID:0080600,D053120,C0199926,robot_template_row,12958051|9556465|7874950,3,,,,Noninvasive Positive Pressure Ventilation,noninvasive pressure support ventilation,claude_api,HIGH,,,
ARDS_POI:01572,respiratory-mechanics-optimization,Respiratory Mechanics Optimization,POI_mechanism,biological-process,,,,D012378,C0035203,mechanism_node,9556465,1,,GO:0007588,,Respiratory Mechanics,Respiratory Mechanics Optimization,claude_api,MEDIUM,,,
ARDS_POI:01573,gas-exchange-improvement,Gas Exchange Improvement,POI_mechanism,biological-process,,,DOID:3083,D005441,C0016548,mechanism_node,9556465,1,,GO:0006810,,Gas Exchange,Gas Exchange Improvement,claude_api,HIGH,,,
ARDS_POI:01574,airway-pressure-release-ventilation-with-spontaneous-breathing,Airway pressure release ventilation with spontaneous breathing,POI_intervention,lung-protective-ventilation-strategy,"Ventilation strategy using APRV mode with continuous spontaneous breathing, enabled by infusion of sedatives (Ramsay score 3).",APRV with spontaneous breathing,DOID:11394,D000707,C0001285,robot_template_row,11435237,1,,,,Airway Pressure Release Ventilation,Airway pressure release ventilation with spontaneous breathing,claude_api,HIGH,,,
